line,bio_rep,tech_rep,cell_number,n_auc,act_auc
osca1.3/1.7,BioRep1,TechRep1,1,1,86.48680427246452
osca1.3/1.7,BioRep1,TechRep1,2,1,90.69617235845024
osca1.3/1.7,BioRep1,TechRep1,3,1,85.91476575068985
osca1.3/1.7,BioRep1,TechRep1,4,1,75.00250009505694
osca1.3/1.7,BioRep1,TechRep1,5,1,91.11865757327178
osca1.3/1.7,BioRep1,TechRep1,6,1,98.52083943913335
osca1.3/1.7,BioRep1,TechRep2,1,1,113.213193935199
osca1.3/1.7,BioRep1,TechRep2,2,1,97.28960093190561
osca1.3/1.7,BioRep1,TechRep2,3,1,92.38652752376987
osca1.3/1.7,BioRep1,TechRep2,4,1,86.84992421774278
osca1.3/1.7,BioRep1,TechRep3,1,1,82.11506489726466
osca1.3/1.7,BioRep1,TechRep3,2,1,85.92036675811795
osca1.3/1.7,BioRep1,TechRep3,3,1,87.06415977340718
osca1.3/1.7,BioRep1,TechRep3,4,1,88.30947742341802
osca1.3/1.7,BioRep1,TechRep3,5,1,91.15495883637558
osca1.3/1.7,BioRep1,TechRep3,6,1,92.15256940196889
osca1.3/1.7,BioRep2,TechRep1,1,1,101.49334653862971
osca1.3/1.7,BioRep2,TechRep1,2,1,85.56114453032384
osca1.3/1.7,BioRep2,TechRep1,3,1,94.3435144516139
osca1.3/1.7,BioRep2,TechRep1,4,1,77.8776853275463
osca1.3/1.7,BioRep2,TechRep1,5,1,90.05871084360898
osca1.3/1.7,BioRep2,TechRep1,6,1,81.21885189782249
osca1.3/1.7,BioRep2,TechRep2,1,1,83.34635842417649
osca1.3/1.7,BioRep2,TechRep2,2,1,77.92684183152541
osca1.3/1.7,BioRep2,TechRep2,3,1,88.47875999570091
osca1.3/1.7,BioRep2,TechRep2,4,1,80.95821982549714
osca1.3/1.7,BioRep2,TechRep2,5,1,94.01102983831305
osca1.3/1.7,BioRep2,TechRep2,6,1,85.96812260984132
osca1.3/1.7,BioRep2,TechRep3,1,1,82.341256874347
osca1.3/1.7,BioRep2,TechRep3,2,1,81.79196376412793
osca1.3/1.7,BioRep2,TechRep3,3,1,86.39515314512435
osca1.3/1.7,BioRep2,TechRep3,4,1,84.71981160922954
osca1.3/1.7,BioRep2,TechRep3,5,1,74.41609954035613
osca1.3/1.7,BioRep3,TechRep1,1,1,102.13847840830317
osca1.3/1.7,BioRep3,TechRep1,2,1,92.88229353727526
osca1.3/1.7,BioRep3,TechRep1,3,1,93.23821551417115
osca1.3/1.7,BioRep3,TechRep1,4,1,82.69945231471665
osca1.3/1.7,BioRep3,TechRep1,5,1,72.31984192433531
osca1.3/1.7,BioRep3,TechRep1,6,1,78.2086859711556
osca1.3/1.7,BioRep3,TechRep2,1,1,88.24094139702792
osca1.3/1.7,BioRep3,TechRep2,2,1,83.75797612114691
osca1.3/1.7,BioRep3,TechRep2,3,1,89.47780130995964
osca1.3/1.7,BioRep3,TechRep2,4,1,79.83648432191067
osca1.3/1.7,BioRep3,TechRep3,1,1,101.92267853976634
osca1.3/1.7,BioRep3,TechRep3,2,1,96.52707265452456
osca1.3/1.7,BioRep3,TechRep3,5,1,92.09166102132592
osca1.3/1.7,BioRep3,TechRep3,6,1,91.2281853252135
osca1.3/1.7,BioRep4,TechRep1,1,1,86.1983558810559
osca1.3/1.7,BioRep4,TechRep1,2,1,80.86556152869997
osca1.3/1.7,BioRep4,TechRep1,3,1,81.67677997974523
osca1.3/1.7,BioRep4,TechRep1,4,1,69.00174746349842
osca1.3/1.7,BioRep4,TechRep2,1,1,82.19181714008646
osca1.3/1.7,BioRep4,TechRep2,2,1,85.31475446429383
osca1.3/1.7,BioRep4,TechRep2,3,1,90.73779504966888
osca1.3/1.7,BioRep4,TechRep2,4,1,87.72737362149299
osca1.3/1.7,BioRep4,TechRep2,5,1,86.13522587427572
osca1.3/1.7,BioRep4,TechRep2,6,1,86.46181019001573
osca1.3/1.7,BioRep4,TechRep3,1,1,82.19337648948058
osca1.3/1.7,BioRep4,TechRep3,2,1,79.40205372987963
osca1.3/1.7,BioRep4,TechRep3,3,1,80.05273868138543
osca1.3/1.7,BioRep4,TechRep3,4,1,69.46375795043146
WT,BioRep1,TechRep1,1,1,79.54108502443906
WT,BioRep1,TechRep1,2,1,81.24303359461967
WT,BioRep1,TechRep1,3,1,90.8219952619035
WT,BioRep1,TechRep1,5,1,97.5811703060812
WT,BioRep1,TechRep1,6,1,108.64910845519695
WT,BioRep1,TechRep2,1,1,105.2578465491806
WT,BioRep1,TechRep2,2,1,121.06403633214929
WT,BioRep1,TechRep2,3,1,100.10786283639979
WT,BioRep1,TechRep2,4,1,118.49111098664122
WT,BioRep1,TechRep3,1,1,84.04133356149671
WT,BioRep1,TechRep3,2,1,83.95262196510934
WT,BioRep1,TechRep3,3,1,104.8620585041552
WT,BioRep1,TechRep3,4,1,96.28958627009217
WT,BioRep1,TechRep3,5,1,98.63451433633847
WT,BioRep1,TechRep3,6,1,101.01437661356921
WT,BioRep2,TechRep1,1,1,96.04595814160737
WT,BioRep2,TechRep1,2,1,95.03184356184657
WT,BioRep2,TechRep1,3,1,91.86159943659513
WT,BioRep2,TechRep1,4,1,97.06129760602002
WT,BioRep2,TechRep1,5,1,83.8172916776999
WT,BioRep2,TechRep1,6,1,77.75104448960701
WT,BioRep2,TechRep2,1,1,90.10973458423173
WT,BioRep2,TechRep2,2,1,74.39669187317466
WT,BioRep2,TechRep2,3,1,87.80740954454343
WT,BioRep2,TechRep2,4,1,83.09560685674735
WT,BioRep2,TechRep2,5,1,86.26292333429636
WT,BioRep2,TechRep3,1,1,96.47568620136163
WT,BioRep2,TechRep3,2,1,95.51567440507887
WT,BioRep2,TechRep3,3,1,107.15750789572014
WT,BioRep2,TechRep3,4,1,99.4129724514994
WT,BioRep2,TechRep3,5,1,107.11097399496981
WT,BioRep2,TechRep3,6,1,100.30326677552428
WT,BioRep3,TechRep1,1,1,86.5739722402315
WT,BioRep3,TechRep1,2,1,77.93098834976058
WT,BioRep3,TechRep1,3,1,110.80352043404957
WT,BioRep3,TechRep1,4,1,94.43611433642484
WT,BioRep3,TechRep1,5,1,90.50126393114218
WT,BioRep3,TechRep1,6,1,88.98050421783951
WT,BioRep3,TechRep2,1,1,98.14482485050893
WT,BioRep3,TechRep2,2,1,92.69895829160687
WT,BioRep3,TechRep2,3,1,106.61066856541957
WT,BioRep3,TechRep2,4,1,85.49231250932293
WT,BioRep3,TechRep2,5,1,98.37800155506861
WT,BioRep3,TechRep2,6,1,94.00897450009894
WT,BioRep3,TechRep3,1,1,93.70169079415592
WT,BioRep3,TechRep3,2,1,76.04978306979116
WT,BioRep3,TechRep3,3,1,107.45328893384081
WT,BioRep3,TechRep3,4,1,86.8184557307318
WT,BioRep3,TechRep3,5,1,95.63610781151657
WT,BioRep3,TechRep3,6,1,77.17533409889798
WT,BioRep4,TechRep1,1,1,80.00547975477633
WT,BioRep4,TechRep1,2,1,93.89336212158764
WT,BioRep4,TechRep1,3,1,91.35072356509365
WT,BioRep4,TechRep1,4,1,82.11837876514994
WT,BioRep4,TechRep2,1,1,77.7859642596421
WT,BioRep4,TechRep2,2,1,83.19356428462147
WT,BioRep4,TechRep2,3,1,96.3369037603871
WT,BioRep4,TechRep2,4,1,88.38470506018622
WT,BioRep4,TechRep3,1,1,84.97745179150625
WT,BioRep4,TechRep3,2,1,75.25674251504121
WT,BioRep4,TechRep3,3,1,79.97172866224967
WT,BioRep4,TechRep3,4,1,72.40224563573327
WT,BioRep4,TechRep3,5,1,77.71154716041175
WT,BioRep4,TechRep3,6,1,78.51348306704408
